ENTREZID,SYMBOL,GENENAME,ii...i,iii...ii,AveExpr,F,P.Value,adj.P.Val,First.Trimester.Average,Second.Trimester.Average,Term.Average
1000,CDH2,cadherin 2,"-0,3424767739","-0,3775868914","4,7867877858","30,1463057865","2,08532927401276E-010","2,28933186131908E-009","5,4281721205","5,0856953467","4,7081084552"
10008,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,"0,441735778","-0,5945481783","4,6900393801","27,8978711522","7,53639638625478E-010","7,43210799155439E-009","4,7712833134","5,2130190913","4,618470913"
10019,SH2B3,SH2B adaptor protein 3,"0,9230486517","-0,4408018569","6,8625514132","13,660025588","8,30505148228608E-006","3,82794467989505E-005","6,3590055828","7,2820542345","6,8412523775"
10024,TROAP,trophinin associated protein,"-0,415192215","-0,2593756932","5,3334571085","22,8800157878","1,56168288873919E-008","1,20233720464518E-007","5,944381321","5,529189106","5,2698134128"
1003,CDH5,cadherin 5,"0,9843807354","0,720328604","9,1643058526","50,4346047941","9,52930065886949E-015","2,4466061639604E-013","7,6273493957","8,6117301311","9,3320587352"
10044,SH2D3C,SH2 domain containing 3C,"0,5139615026","0,38138644","6,5746232634","20,1620474093","8,95772816139518E-008","6,02334979110588E-007","5,7677084313","6,2816699339","6,663056374"
10046,MAMLD1,mastermind like domain containing 1,"-0,4889779904","0,2883648761","5,1113496316","6,0806905357","0,0035257812","0,0089929532","5,3320222999","4,8430443095","5,1314091856"
10053,AP1M2,adaptor related protein complex 1 subunit mu 2,"-0,5197419229","0,5544765125","6,4934064917","20,111967857","9,25767405632818E-008","6,21251398645186E-007","6,5196685748","5,9999266519","6,5544031644"
10056,FARSB,phenylalanyl-tRNA synthetase subunit beta,"-0,4281267678","-0,4530590587","6,3659332056","31,0538937853","1,25628232061888E-010","1,43099480728418E-009","7,1517961551","6,7236693873","6,2706103286"
10057,ABCC5,ATP binding cassette subfamily C member 5,"0,4862011528","-1,040489791","5,6236160606","96,7735803312","8,80095882683599E-022","8,38655939407526E-020","6,0373570604","6,5235582132","5,4830684222"
10112,KIF20A,kinesin family member 20A,"-0,5371702779","-1,2029037303","5,5945813453","89,2873701345","7,93817567949656E-021","6,24419894487192E-019","7,1135416751","6,5763713972","5,3734676669"
10114,HIPK3,homeodomain interacting protein kinase 3,"0,3316187912","0,5489432592","6,3620295999","57,137814267","5,76238816101082E-016","1,82687423903073E-014","5,5869848065","5,9186035977","6,4675468569"
10131,TRAP1,TNF receptor associated protein 1,"-0,5024659795","-0,4124131531","7,0580932261","57,7045009593","4,5870504402847E-016","1,48014721096049E-014","7,8801880686","7,3777220891","6,9653089361"
